,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,fav
147,0.554,0.851,11.0,-7.61,0.0368,0.608,0.912,0.24,0.516,116.978,4.0,fav
148,0.49,0.646,,-8.956,0.04,0.702,0.821,0.106,0.266,122.96,4.0,fav
149,0.464,0.513,9.0,-7.683,0.0284,0.702,0.000115,0.174,0.308,117.935,3.0,fav
150,0.545,0.304,4.0,-9.066,0.0317,0.929,0.00421,0.095,0.158,71.942,5.0,fav
151,0.534,0.447,10.0,-9.104,0.0304,0.629,0.522,0.117,0.315,161.91,3.0,fav
152,0.304,0.795,7.0,-6.023,0.0554,0.55,0.724,0.118,0.35,79.884,4.0,fav
153,0.55,0.74,1.0,-8.83,0.0274,0.172,0.663,0.0584,0.522,122.277,4.0,fav
154,0.745,0.789,6.0,-7.132,0.0917,0.281,0.769,0.108,0.744,120.061,4.0,fav
155,0.419,0.725,7.0,-7.729,0.0359,0.418,0.128,0.0776,0.338,149.991,4.0,fav
156,0.527,0.779,9.0,-7.638,0.0508,0.504,0.803,0.0996,0.239,126.026,4.0,fav
157,0.402,0.835,9.0,-6.367,0.043,0.0558,0.18,0.103,0.69,157.066,4.0,fav
158,0.648,0.745,1.0,-8.546,0.0358,0.63,0.712,0.0901,0.589,126.008,4.0,fav
159,0.583,0.441,4.0,-10.318,0.0325,0.868,0.557,0.117,0.343,135.019,3.0,fav
160,0.554,0.851,11.0,-7.61,0.0368,0.608,0.912,0.24,0.516,116.978,4.0,fav
161,0.49,0.646,,-8.956,0.04,0.702,0.821,0.106,0.266,122.96,4.0,fav
162,0.464,0.513,9.0,-7.683,0.0284,0.702,0.000115,0.174,0.308,117.935,3.0,fav
163,0.325,0.768,,-6.791,0.0334,0.143,0.909,0.0731,0.311,101.961,3.0,fav
164,0.539,0.925,5.0,-5.303,0.0313,0.0532,0.87,0.298,0.751,133.008,4.0,fav
165,0.505,0.823,9.0,-8.308,0.0389,0.0305,0.731,0.104,0.762,169.967,4.0,fav
166,0.553,0.726,4.0,-6.778,0.0331,0.179,0.883,0.157,0.827,132.989,4.0,fav
167,0.534,0.408,2.0,-10.448,0.031,0.682,0.891,0.133,0.394,153.989,4.0,fav
168,0.575,0.695,4.0,-8.387,0.032,0.658,0.861,0.148,0.512,150.023,4.0,fav
169,0.55,0.836,11.0,-5.485,0.0362,0.00837,0.758,0.0934,0.787,141.988,4.0,fav
170,0.655,0.445,,-12.06,0.0274,0.875,0.634,0.115,0.14,130.014,4.0,fav
171,0.576,0.625,9.0,-7.541,0.028,0.119,0.889,0.14,0.546,135.95,4.0,fav
172,0.353,0.39,10.0,-9.771,0.0293,0.932,0.667,0.09,0.107,94.156,4.0,fav
173,0.557,0.505,7.0,-9.617,0.0296,0.641,0.883,0.103,0.144,116.942,4.0,fav
174,0.575,0.309,,-12.372,0.0272,0.828,0.511,0.107,0.22,83.013,4.0,fav
175,0.325,0.768,,-6.791,0.0334,0.143,0.909,0.0731,0.311,101.961,3.0,fav
176,0.539,0.925,5.0,-5.303,0.0313,0.0532,0.87,0.298,0.751,133.008,4.0,fav
177,0.505,0.823,9.0,-8.308,0.0389,0.0305,0.731,0.104,0.762,169.967,4.0,fav
